_id,FSA,BEV,PHEV,Total EV
1,K0A,1021,418,1439
2,K0B,104,64,168
3,K0C,218,134,352
4,K0E,177,86,263
5,K0G,267,123,390
6,K0H,248,159,407
7,K0J,105,84,189
8,K0K,532,285,817
9,K0L,314,165,479
10,K0M,225,72,297
11,K0N,1,,1
12,K1A,60,62,122
13,K1B,121,59,180
14,K1C,250,178,428
15,K1E,74,40,114
16,K1G,212,154,366
17,K1H,148,91,239
18,K1J,214,115,329
19,K1K,228,127,355
20,K1L,70,60,130
21,K1M,99,57,156
22,K1N,114,85,199
23,K1P,42,47,89
24,K1R,111,55,166
25,K1S,363,262,625
26,K1T,300,146,446
27,K1V,366,243,609
28,K1W,155,78,233
29,K1X,77,15,92
30,K1Y,272,136,408
31,K1Z,193,91,284
32,K2A,248,123,371
33,K2B,146,102,248
34,K2C,183,107,290
35,K2E,153,75,228
36,K2G,338,178,516
37,K2H,218,120,338
38,K2J,735,333,1068
39,K2K,263,132,395
40,K2L,90,69,159
41,K2M,271,138,409
42,K2P,114,65,179
43,K2R,35,14,49
44,K2S,469,210,679
45,K2T,171,65,236
46,K2V,159,67,226
47,K2W,134,38,172
48,K3M,,1,1
49,K4A,497,234,731
50,K4B,56,27,83
51,K4C,85,24,109
52,K4K,164,75,239
53,K4M,370,123,493
54,K4N,1,,1
55,K4P,180,65,245
56,K4R,64,37,101
57,K5M,1,,1
58,K5W,2,,2
59,K6A,68,28,96
60,K6G,,1,1
61,K6H,95,64,159
62,K6J,33,28,61
63,K6K,18,8,26
64,K6T,1,1,2
65,K6V,102,73,175
66,K7A,56,37,93
67,K7C,163,58,221
68,K7G,43,20,63
69,K7H,89,68,157
70,K7K,169,79,248
71,K7L,204,115,319
72,K7M,250,143,393
73,K7N,32,18,50
74,K7P,165,70,235
75,K7R,52,28,80
76,K7S,72,27,99
77,K7V,41,19,60
78,K8A,59,45,104
79,K8B,1,2,3
80,K8H,64,40,104
81,K8J,1,,1
82,K8K,,1,1
83,K8N,120,81,201
84,K8P,52,38,90
85,K8R,9,7,16
86,K8V,100,68,168
87,K9A,165,92,257
88,K9B,1,,1
89,K9H,118,61,179
90,K9J,180,114,294
91,K9K,89,38,127
92,K9L,44,20,64
93,K9V,89,41,130
94,L0A,131,40,171
95,L0B,120,41,161
96,L0C,78,27,105
97,L0E,118,45,163
98,L0G,490,126,616
99,L0H,12,7,19
100,L0J,111,25,136
101,L0K,252,92,344
