_id,FSA,BEV,PHEV,Total EV,,sort
275,M0N,1,,1,,1
276,M1B,323,165,488,,1
277,M1C,382,131,513,,1
278,M1E,265,101,366,,1
279,M1G,115,49,164,,1
280,M1H,132,42,174,,1
281,M1J,103,47,150,,1
282,M1K,133,54,187,,1
283,M1L,148,60,208,,1
284,M1M,161,78,239,,1
285,M1N,175,79,254,,1
286,M1P,220,77,297,,1
287,M1R,165,56,221,,1
288,M1S,285,83,368,,1
289,M1T,162,65,227,,1
290,M1V,316,70,386,,1
291,M1W,242,83,325,,1
292,M1X,148,51,199,,1
293,M2B,1,,1,,1
294,M2E,1,,1,,1
295,M2H,199,74,273,,1
296,M2J,554,161,715,,1
297,M2K,325,97,422,,1
298,M2L,269,68,337,,1
299,M2M,336,106,442,,1
300,M2N,890,277,1167,,1
301,M2P,214,37,251,,1
302,M2R,206,97,303,,1
303,M3A,539,74,613,,1
304,M3B,345,97,442,,1
305,M3C,264,71,335,,1
306,M3H,326,97,423,,1
307,M3J,173,57,230,,1
308,M3K,73,12,85,,1
309,M3L,60,21,81,,1
310,M3M,53,23,76,,1
311,M3N,80,24,104,,1
312,M3R,,1,1,,1
313,M3V,1,,1,,1
314,M3Y,1,,1,,1
315,M4A,66,31,97,,1
316,M4B,121,52,173,,1
317,M4C,210,104,314,,1
318,M4E,247,111,358,,1
319,M4G,364,125,489,,1
320,M4H,32,21,53,,1
321,M4J,231,106,337,,1
322,M4K,219,106,325,,1
323,M4L,270,118,388,,1
324,M4M,289,99,388,,1
325,M4N,354,118,472,,1
326,M4P,179,67,246,,1
327,M4R,177,74,251,,1
328,M4S,295,93,388,,1
329,M4T,166,62,228,,1
330,M4V,280,90,370,,1
331,M4W,276,100,376,,1
332,M4X,52,22,74,,1
333,M4Y,158,47,205,,1
334,M5A,343,111,454,,1
335,M5B,78,21,99,,1
336,M5C,206,22,228,,1
337,M5E,113,26,139,,1
338,M5G,111,50,161,,1
339,M5H,245,59,304,,1
340,M5J,135,48,183,,1
341,M5K,5,1,6,,1
342,M5L,4,1,5,,1
343,M5M,500,151,651,,1
344,M5N,232,69,301,,1
345,M5P,302,111,413,,1
346,M5R,317,96,413,,1
347,M5S,104,37,141,,1
348,M5T,82,22,104,,1
349,M5V,589,111,700,,1
350,M5W,3,13,16,,1
351,M5X,7,1,8,,1
352,M6A,110,31,141,,1
353,M6B,169,61,230,,1
354,M6C,235,76,311,,1
355,M6E,148,61,209,,1
356,M6G,188,102,290,,1
357,M6H,179,95,274,,1
358,M6J,233,71,304,,1
359,M6K,222,74,296,,1
360,M6L,68,23,91,,1
361,M6M,105,47,152,,1
362,M6N,141,59,200,,1
363,M6P,232,106,338,,1
364,M6R,168,80,248,,1
365,M6S,382,185,567,,1
366,M6Y,1,,1,,1
367,M6Z,1,,1,,1
368,M7A,6,1,7,,1
369,M8A,1,1,2,,1
370,M8B,2,,2,,1
371,M8V,394,137,531,,1
372,M8W,239,63,302,,1
373,M8X,212,76,288,,1
374,M8Y,241,83,324,,1
375,M8Z,427,156,583,,1
376,M9A,392,148,540,,1
377,M9B,380,115,495,,1
378,M9C,252,103,355,,1
379,M9L,82,23,105,,1
380,M9M,91,18,109,,1
381,M9N,86,31,117,,1
382,M9P,104,34,138,,1
383,M9R,125,48,173,,1
384,M9V,233,58,291,,1
385,M9W,1442,131,1573,,1
386,M9Y,1,1,2,,1
