_id,Location,Address,Type,Level2_Charging_Ports,Level3_Charging_Ports,geometry
1,"Toronto City Hall, 100 Queen St W.",100 Queen St W.,Green P,8,3,"{'type': 'MultiPoint', 'coordinates': [[-79.38362506, 43.65282214]]}"
2,51 Dockside Dr.,51 Dockside Dr.,Green P,5,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3654695, 43.64393878]]}"
3,10 Soho St.,10 Soho St.,Green P,4,0,"{'type': 'MultiPoint', 'coordinates': [[-79.39384895, 43.6498767]]}"
4,2 Church St.,2 Church St.,Green P,24,4,"{'type': 'MultiPoint', 'coordinates': [[-79.37308727, 43.64646122]]}"
5,365 Lippincott St.,365 Lippincott St.,Green P,10,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4096816, 43.66535107]]}"
6,20 Delisle Ave.,20 Delisle Ave.,Green P,4,0,"{'type': 'MultiPoint', 'coordinates': [[-79.39539964, 43.689207]]}"
7,75 Holly St.,75 Holly St.,Green P,28,1,"{'type': 'MultiPoint', 'coordinates': [[-79.39630556, 43.70644667]]}"
8,Yonge Street at Dundas St.,20 Dundas Square.,Green P,8,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38092641, 43.65632878]]}"
9,9Â WellesleyÂ StÂ W.,9Â WellesleyÂ StÂ W.,Green P,8,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38523053, 43.66464727]]}"
10,14 Arundel Ave.,14 Arundel Ave.,Green P,8,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35135317, 43.67847483]]}"
11,1612 Danforth Ave.,1612 Danforth Ave.,Green P,2,0,"{'type': 'MultiPoint', 'coordinates': [[-79.32282336, 43.68377953]]}"
12,Bessarion CC,90 Ethennonnhawahstihnen Lane,Green P,10,0,"{'type': 'MultiPoint', 'coordinates': [[-79.22315, 43.46056]]}"
13,51 Dockside Dr,51 Dockside Dr,Green P,6,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3654695, 43.64393878]]}"
14,91 Via Italia,91 Via Italia,Green P,12,0,"{'type': 'MultiPoint', 'coordinates': [[-79.26431, 43.40362]]}"
15,10 Delisle St,10 Delisle St,Green P,4,0,"{'type': 'MultiPoint', 'coordinates': [[-79.39539964, 43.689207]]}"
16,20 Charles St E.,20 Charles St E.,Green P,22,1,"{'type': 'MultiPoint', 'coordinates': [[-79.385094, 43.668889]]}"
17,"Toronto City Hall, 100 Queen St W.",110 Queen St W.,Green P,40,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38362506, 43.65282214]]}"
18,10 Portland St,10 Portland St,Green P,4,0,"{'type': 'MultiPoint', 'coordinates': [[-79.399053, 43.647133]]}"
19,74 Clinton Street,74 Clinton Street,Green P,4,0,"{'type': 'MultiPoint', 'coordinates': [[-79.414172, 43.655792]]}"
20,168 Chiltern Hill Rd,168 Chiltern Hill Rd,Green P,4,0,"{'type': 'MultiPoint', 'coordinates': [[-79.427699, 43.700155]]}"
21,45 Abell St,45 Abell St,Green P,12,4,"{'type': 'MultiPoint', 'coordinates': [[-79.423687, 43.641587]]}"
22,35 Erindale Ave,35 Erindale Ave,Green P,4,6,"{'type': 'MultiPoint', 'coordinates': [[-79.357649, 43.677371]]}"
23,265 Armadale Ave,265 Armadale Ave,Green P,8,1,"{'type': 'MultiPoint', 'coordinates': [[-79.482065, 43.65045]]}"
24,117 Hammersmith Ave,117 Hammersmith Ave,Green P,6,0,"{'type': 'MultiPoint', 'coordinates': [[-79.294563, 43.671643]]}"
25,166 Woodbine Ave,166 Woodbine Ave,Green P,6,0,"{'type': 'MultiPoint', 'coordinates': [[-79.30587, 43.668326]]}"
